team,att,cmp,cmp_percentage,yds_att,passyds,td,int_,rate,1st,1st_Percentage,20plus,40plus,lng,sck,scky,year
BrownsBrowns,501,315,62.9,7.4,3701,27,8,96.6,195,38.9,45,5,75,26,162,2020
JetsJets,499,292,58.5,6.2,3115,16,14,75.9,146,29.3,39,6,69,43,319,2020
TitansTitans,485,316,65.2,7.9,3826,33,7,105.9,203,41.9,44,13,75T,25,173,2020
PatriotsPatriots,440,283,64.3,7.1,3124,12,14,81.1,157,35.7,38,3,50,37,234,2020
RavensRavens,406,257,63.3,7.2,2919,27,11,95.7,142,35,38,5,70T,32,180,2020
BuccaneersBuccaneers,731,492,67.3,7.4,5383,43,12,101.6,273,37.4,76,10,62T,23,154,2021
ChiefsChiefs,675,448,66.4,7.3,4937,37,13,98.1,267,39.6,58,11,75T,28,146,2021
ChargersChargers,674,443,65.7,7.4,5014,38,15,97.4,256,38,53,15,72T,31,214,2021
SteelersSteelers,664,425,64,6,4017,23,11,85.3,204,30.7,41,9,59,38,239,2021
BillsBills,655,415,63.4,6.8,4450,36,16,91.3,236,36,51,8,61,27,166,2021
CowboysCowboys,647,444,68.6,7.7,4963,40,11,104.8,248,38.3,63,9,73T,33,163,2021
RaidersRaiders,628,429,68.3,7.7,4808,23,14,93.8,217,34.6,67,10,61T,40,241,2021
DolphinsDolphins,615,404,65.7,6.4,3936,21,14,85.4,206,33.5,45,8,65T,40,285,2021
RavensRavens,611,396,64.8,7,4267,21,18,84.4,209,34.2,54,6,49T,57,306,2021
RamsRams,607,406,66.9,8.1,4893,41,18,101.6,233,38.4,65,18,79T,31,251,2021
JaguarsJaguars,604,361,59.8,6.1,3674,12,17,72.1,178,29.5,44,5,58,32,238,2021
VikingsVikings,604,398,65.9,7.4,4450,34,7,101.6,202,33.4,63,10,64T,30,212,2021
JetsJets,603,357,59.2,6.6,3959,20,20,76,195,32.3,52,6,62T,53,418,2021
PanthersPanthers,599,348,58.1,6,3573,14,21,68.5,174,29,36,5,64,52,334,2021
LionsLions,593,396,66.8,6.6,3884,23,14,88.1,193,32.6,49,5,75,36,286,2021
PackersPackers,593,402,67.8,7.6,4526,39,7,107.4,235,39.6,61,11,75,33,211,2021
GiantsGiants,593,351,59.2,5.8,3463,14,20,69.6,171,28.8,31,6,60T,38,267,2021
CardinalsCardinals,591,415,70.2,7.8,4619,27,11,100.6,214,36.2,62,11,77T,39,343,2021
FalconsFalcons,573,377,65.8,7,3987,20,15,86.6,196,34.2,44,7,64,40,274,2021
BengalsBengals,555,384,69.2,8.7,4806,36,14,106.9,208,37.5,63,16,82T,55,403,2021
Football TeamFootball Team,550,356,64.7,6.8,3746,20,15,85.2,181,32.9,42,7,73T,43,305,2021
TexansTexans,546,354,64.8,6.6,3630,21,15,85.2,162,29.7,44,8,67T,44,325,2021
BearsBears,542,332,61.2,6.7,3635,16,20,75.5,180,33.2,40,7,64T,58,428,2021
BroncosBroncos,541,354,65.4,7.1,3856,20,9,91.7,179,33.1,46,7,64,40,263,2021
TitansTitans,535,359,67.1,7,3745,22,14,90,194,36.3,35,7,57,47,327,2021
PatriotsPatriots,535,364,68,7.7,4098,24,13,95.5,187,35,60,8,75,28,241,2021
ColtsColts,521,324,62.2,6.9,3578,27,8,93.4,167,32,42,9,76T,32,227,2021
BrownsBrowns,520,320,61.5,7,3619,21,14,84.6,177,34,47,9,71T,49,299,2021
49ers49ers,514,343,66.7,8.6,4437,26,14,99.2,200,38.9,63,11,83,33,216,2021
SaintsSaints,504,293,58.1,6.8,3437,29,13,87.4,165,32.7,41,8,72,37,251,2021
SeahawksSeahawks,495,324,65.4,7.7,3815,30,7,103,166,33.5,56,12,84,46,383,2021
EaglesEagles,494,307,62.2,7.3,3585,20,10,89.2,167,33.8,51,5,91T,31,181,2021
